,제목,주소,조회수,좋아요,싫어요,댓글수,본문내용
80,EP.24 드디어 논란 종결! 매니저는 과연 머머리가 될 것인가?,/watch?v=_hUoW6v7I_4,"682,357",15000,186,"1,123",많은 분들이 궁금해 하셨던 매니저 모발의 생존여부..... 드디어 결론이 났습니다!#머머리와#삭발은#다른겁니다
81,이말년 핸드메이드! 펭수 굿즈 판매 라이브 (feat. 침착맨),/watch?v=NOzjIYgq7ik,"101,279",2400,18,176,"펭수와 이말년이 만든 세 가지 굿즈!특별한 조건을 충족한 구독자들과 전화 연결 후보내주게 되었는데...펭수 헤드셋, 일코용 양면모자, 파티션의 주인은 누구?"
82,EP.23 펭TV에 드디어 그녀들이 떴다! 펭수의 걸그룹 도전기 2탄!,/watch?v=8H6n_meu4sQ,"522,296",8600,97,452,걸그룹에 도전한 펭수 덕분에 매니저도 아이돌을 만날 수 있었습니다#걸그룹#아이돌#SIS
83,펭수 걸그룹 데뷔?! 실제 오디션 현장 공개!,/watch?v=pDwVZwUTJxE,"847,513",13000,223,836,"#인생은#실전이야오디션 합격, 차~암 쉽죠? (찡긋)"
84,[EP.21] 이것이 바로 아이돌 연습생의 실체다! 유명 기획사 연습생들의 은밀한 이야기!!,/watch?v=D71RP_g3rK8,"365,446",6600,89,376,아이돌이 되고싶어? 연습생이 궁금해? 유명 기획사 연습생들과 함께 파헤치는 연습생 A to Z!! 펭수의 연습생 회담 지금 시작합니다
85,"""졸사 찍을 때 왜 눈을 감아..?"" 졸업사진 공감 유형!(feat.김다윤 슨배림) [EP.20]",/watch?v=VZH5xd_WnHk,"235,360",6900,83,512,"졸사 시즌이 다가왔다!눈 감는 애, 화장 진한 애.. 꼭 있는 거 RGRG??틱톡스타 김다윤과 함께한 펭수의 '졸업사진 공감' 이번 편도 대유잼~"
86,"""삭발 VS 국토대장정"" 구독자 만 명 내기! 카운트다운 LIVE [EP.19]",/watch?v=jzvvMwqfMuM,"455,509",12000,98,"1,055",국회의사당에 펭수가 나타난 이유?!구독자 만 명 달성을 위한 현장 홍보 때문!과연 펭수는 두 시간 안에 구독자 만 명을 달성할 수 있을까?
87,"[EP.17] 펭수, 어벤져스 무기 5종 세트 만들다. 단돈 천원에 모십니다! (ft. 다이소)",/watch?v=q4Fva6tuWdU,"480,408",11000,124,"1,015",어*져스가 그렇게 재밌다며? 그렇다면 펭수가 그냥 지나칠 수 없지!펭수와 함께 하는 D.I.Y 히어로 변신세트 만들기!이것만 있으면 너희도 히어로가 될 수 있다고!!
88,[세계 최초 펭귄 ASMR] 펭수 만 명 돌파 기념! 펭수의 은밀한 털소리 공개,/watch?v=uBlGkcww5Fs,"528,862",22000,101,"2,467","♥리슨 케어풀리♥머랭쿠키, 감자과자는 물론 펭수의 은밀한 털소리까지..펭수의 ASMR 도전기!☆☆☆☆☆아.낌.없.이.들.려.줄.게.☆☆☆☆☆"
89,펭수를 위해 모인 EBS 히어로즈 '자이언트 펭TV' 티저(2),/watch?v=equODuwRhl4,"153,063",3400,27,139,"(영) 펭수 광고계 접수!! (광)이 영광을 번개맨 슨배릠, 보니하니 슨배릠, 하하 슨배릠...께 돌립니다."
90,EBS 슈스 펭수 광고계 데뷔?! '자이언트 펭TV' 티저(1),/watch?v=tRyx4WhBYiw,"132,494",4500,16,154,니 열두쨜 청년인데 동년배들 다 펭수 본다!!!!!
91,"펭수, 눈물의 첫 라이브 방송 (full 편집 버전)",/watch?v=r9jdn3gaU5s,"214,402",6700,47,634,한강편에서 보셨던 라이브 방송 풀 버전을 준비했습니다.Q&A / 펭수 미션 주기 / (펭귄 문제 아니고) 펭수 문제까지알차고 알찬 소통의 시간이었어요.라이브 방송 참여자가 40명을 넘어서 펭수는 산을 타지 않았고기쁨의 눈물을 흘렸다는... 앞으로도 자주 소통해요! 펭펭!
92,갑.분.연..? 연 날리다가 연예인 만나다. 펭수는 힐링 한강 휴가ing [EP.16],/watch?v=gChC_91Xxbk,"665,690",21000,138,"1,193",~펭 수 의 난 지 공 원 순 방~한강에 나타난 펭수 팬덤과의 축구 한마당!공도 차고 연도 날리며 인생의 꿀을 맛보다가 최애 연예인을 발견했다고?
93,펭수의 댓글읽기 두 번째 이야기 (feat. 근원),/watch?v=RW2sNp1B_Ds,"214,475",5800,28,414,구독자 8000 돌파 기념! 숨겨 놨던 근원이와 펭수의 수줍은 댓글읽기 미공개 영상!오로지 유튜브에서만! 지금 독점 공개합니다!
94,"펭수, 한강 수영 라이브?! 10살 펭수는 남극이 그리워요 [EP.15]",/watch?v=rAoGeGusHds,"564,371",13000,221,"1,016","구독자 5,000명을 달성한 펭수의 첫 휴가지는 한강공원!매니저와 텐트도 치고 주먹밥도 만들어 먹었다.이젠 뭐 하고 놀지? 한강 수영! 헤엄 쳐서 어디로 가려는 거야 펭수"
95,"펭수, 해외 진출 준비? 펭수의 귀염 터지는 외국어송",/watch?v=2QlYHyD1eVA,"198,796",5800,119,494,야너두해외 진출할 수 있어
